popid,abbr,country,x1990,x2000,x2010,x2015,x2019,x2020,x2021,x2022
324,GIN,Guinea,0.27,0.345,0.415,0.449,0.47,0.471,0.467,0.471
328,GUY,Guyana,0.496,0.57,0.65,0.686,0.711,0.727,0.721,0.742
332,HTI,Haiti,0.441,0.485,0.449,0.549,0.559,0.557,0.551,0.552
340,HND,Honduras,0.513,0.553,0.596,0.61,0.629,0.621,0.62,0.624
344,HKG,"Hong Kong, China (SAR)",0.739,0.831,0.914,0.936,0.953,0.955,0.959,0.956
348,HUN,Hungary,0.721,0.773,0.829,0.839,0.854,0.849,0.846,0.851
352,ISL,Iceland,0.834,0.895,0.927,0.948,0.958,0.955,0.957,0.959
356,IND,India,0.434,0.49,0.572,0.619,0.638,0.638,0.633,0.644
360,IDN,Indonesia,0.526,0.597,0.667,0.698,0.718,0.712,0.707,0.713
364,IRN,"Iran, Islamic Republic of",0.613,0.692,0.756,0.782,0.785,0.779,0.776,0.78
368,IRQ,Iraq,0.497,0.583,0.629,0.656,0.678,0.661,0.667,0.673
372,IRL,Ireland,0.743,0.851,0.908,0.924,0.942,0.945,0.946,0.95
376,ISR,Israel,0.781,0.835,0.887,0.899,0.909,0.906,0.911,0.915
380,ITA,Italy,0.78,0.842,0.88,0.881,0.899,0.892,0.899,0.906
384,CIV,C_te d'Ivoire,0.425,0.454,0.47,0.501,0.529,0.53,0.53,0.534
388,JAM,Jamaica,0.664,0.657,0.711,0.712,0.712,0.707,0.704,0.706
392,JPN,Japan,0.846,0.883,0.903,0.913,0.918,0.917,0.92,0.92
398,KAZ,Kazakhstan,0.672,0.68,0.766,0.799,0.81,0.806,0.801,0.802
400,JOR,Jordan,0.622,0.681,0.727,0.738,0.744,0.74,0.736,0.736
404,KEN,Kenya,0.48,0.487,0.545,0.575,0.604,0.599,0.596,0.601
408,PRK,"Korea, Democratic People Republic of",,,,,,,,0.733
410,KOR,"Korea, Republic of",0.731,0.824,0.89,0.908,0.922,0.922,0.926,0.929
414,KWT,Kuwait,0.698,0.78,0.811,0.829,0.838,0.826,0.836,0.847
417,KGZ,Kyrgyzstan,0.637,0.617,0.661,0.689,0.699,0.691,0.696,0.701
418,LAO,Lao People's Democratic Republic,0.408,0.473,0.557,0.604,0.617,0.616,0.615,0.62
422,LBN,Lebanon,,,0.749,0.756,0.76,0.742,0.725,0.723
426,LSO,Lesotho,0.479,0.456,0.47,0.508,0.528,0.53,0.522,0.521
428,LVA,Latvia,0.732,0.761,0.827,0.853,0.873,0.873,0.865,0.879
430,LBR,Liberia,,0.434,0.46,0.472,0.485,0.483,0.484,0.487
434,LBY,Libya,0.724,0.746,0.774,0.749,0.756,0.737,0.746,0.746
438,LIE,Liechtenstein,,0.871,0.916,0.926,0.94,0.933,0.936,0.942
440,LTU,Lithuania,0.74,0.769,0.846,0.865,0.886,0.88,0.875,0.879
442,LUX,Luxembourg,0.793,0.864,0.912,0.914,0.925,0.921,0.927,0.927
450,MDG,Madagascar,,0.438,0.488,0.499,0.498,0.486,0.484,0.487
454,MWI,Malawi,0.299,0.378,0.461,0.498,0.514,0.512,0.509,0.508
458,MYS,Malaysia,0.649,0.726,0.768,0.792,0.805,0.802,0.798,0.807
462,MDV,Maldives,,0.635,0.692,0.728,0.753,0.737,0.753,0.762
466,MLI,Mali,0.236,0.315,0.406,0.409,0.421,0.407,0.408,0.41
470,MLT,Malta,0.726,0.779,0.862,0.887,0.905,0.901,0.912,0.915
474,MTQ,"France, Martinique",,,,,0.851,0.845,0.849,0.849
478,MRT,Mauritania,0.397,0.461,0.508,0.536,0.552,0.539,0.538,0.54
480,MUS,Mauritius,0.62,0.682,0.755,0.791,0.806,0.792,0.79,0.796
484,MEX,Mexico,0.666,0.709,0.747,0.769,0.781,0.757,0.757,0.781
496,MNG,Mongolia,0.579,0.595,0.7,0.739,0.749,0.74,0.73,0.741
498,MDA,Moldova,0.688,0.655,0.716,0.749,0.773,0.765,0.767,0.763
499,MNE,Montenegro,,,0.806,0.827,0.841,0.832,0.84,0.844
504,MAR,Morocco,0.448,0.525,0.604,0.656,0.684,0.683,0.688,0.698
508,MOZ,Mozambique,0.239,0.303,0.407,0.445,0.465,0.467,0.459,0.461
512,OMN,Oman,,0.702,0.798,0.824,0.841,0.823,0.81,0.819
516,NAM,Namibia,0.595,0.549,0.584,0.627,0.638,0.634,0.616,0.61
520,NRU,Nauru,,,0.559,0.642,0.68,0.689,0.693,0.696
524,NPL,Nepal,0.395,0.461,0.543,0.568,0.598,0.593,0.591,0.601
528,NLD,The Netherlands,0.847,0.892,0.917,0.932,0.941,0.938,0.941,0.946
540,NCL,New Caledonia,,,,,0.813,,,0.813
548,VUT,Vanuatu,,,0.578,0.592,0.614,0.612,0.614,0.614
554,NZL,New Zealand,0.812,0.894,0.924,0.933,0.937,0.935,0.936,0.939
558,NIC,Nicaragua,0.487,0.563,0.611,0.644,0.661,0.652,0.665,0.669
562,NER,Niger,0.212,0.26,0.336,0.367,0.39,0.391,0.389,0.394
566,NGA,Nigeria,,,0.488,0.52,0.537,0.539,0.542,0.548
578,NOR,Norway,0.845,0.914,0.938,0.952,0.961,0.963,0.964,0.966
583,FSM,Micronesia (Federated States of),,0.637,0.644,0.642,0.64,0.636,0.634,0.634
584,MHL,Marshall Islands,,,,0.688,0.722,0.727,0.729,0.731
585,PLW,Palau,,0.747,0.775,0.782,0.792,0.794,0.802,0.797
586,PAK,Pakistan,0.394,0.434,0.496,0.525,0.537,0.536,0.537,0.54
591,PAN,Panama,0.672,0.722,0.775,0.802,0.82,0.809,0.813,0.82
598,PNG,Papua New Guinea,0.394,0.456,0.497,0.54,0.562,0.567,0.564,0.568
600,PRY,Paraguay,0.604,0.656,0.7,0.738,0.746,0.742,0.73,0.731
